Symbol,Name,Last,IV/HV,"Imp Vol","Long Term","Short Term","Med Term","Last Mth Signal","Last Wk Signal","Prev Signal",Signal
ZLH21,"Soybean Oil",56.89,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLF21,"Soybean Oil",43.27,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ20,"Soybean Oil",40.11,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV20,"Soybean Oil",33.72,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLU20,"Soybean Oil",34.28,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLQ20,"Soybean Oil",31.53,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLN20,"Soybean Oil",28.48,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLK20,"Soybean Oil",25.92,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH20,"Soybean Oil",26.11,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF20,"Soybean Oil",33.65,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLZ19,"Soybean Oil",32.27,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV19,"Soybean Oil",29.9,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLU19,"Soybean Oil",28.94,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLQ19,"Soybean Oil",29.1,0,0.00%,Buy,Buy,Buy,Sell,Sell,Buy,Buy
ZLN19,"Soybean Oil",28.11,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Buy
ZLK19,"Soybean Oil",26.73,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH19,"Soybean Oil",29.4,0,0.00%,Buy,Sell,Sell,Buy,Hold,Buy,Sell
ZLF19,"Soybean Oil",28.11,0,0.00%,Sell,Sell,Sell,Buy,Buy,Sell,Sell
ZLZ18,"Soybean Oil",28.39,0,0.00%,Sell,Hold,Buy,Sell,Buy,Buy,Hold
ZLV18,"Soybean Oil",29.04,0,0.00%,Buy,Buy,Sell,Sell,Buy,Hold,Buy
ZLU18,"Soybean Oil",27.43,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ18,"Soybean Oil",28.09,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN18,"Soybean Oil",27.8,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK18,"Soybean Oil",31.12,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
