date,target_1w,target_1m,target_3m,target_6m,zl_price_current,zl_price_lag1,zl_price_lag7,zl_price_lag30,return_1d,return_7d,ma_7d,ma_30d,volatility_30d,zl_volume,feature_vix_stress,feature_harvest_pace,feature_china_relations,feature_tariff_threat,feature_geopolitical_volatility,feature_biofuel_cascade,feature_hidden_correlation,feature_biofuel_ethanol,big8_composite_score,corr_zl_crude_7d,corr_zl_palm_7d,corr_zl_vix_7d,corr_zl_dxy_7d,corr_zl_corn_7d,corr_zl_wheat_7d,corr_zl_crude_30d,corr_zl_palm_30d,corr_zl_vix_30d,corr_zl_dxy_30d,corr_zl_corn_30d,corr_zl_wheat_30d,corr_zl_crude_90d,corr_zl_palm_90d,corr_zl_vix_90d,corr_zl_dxy_90d,corr_zl_corn_90d,corr_zl_crude_180d,corr_zl_palm_180d,corr_zl_vix_180d,corr_zl_dxy_180d,corr_zl_crude_365d,corr_zl_palm_365d,corr_zl_vix_365d,corr_zl_dxy_365d,corr_zl_corn_365d,corr_palm_crude_30d,corr_corn_wheat_30d,crude_price,palm_price,corn_price,wheat_price,vix_level,dxy_level,seasonal_index,monthly_zscore,yoy_change,oil_price_per_cwt,bean_price_per_bushel,meal_price_per_ton,crush_margin,crush_margin_7d_ma,crush_margin_30d_ma,china_mentions,china_posts,import_posts,soy_posts,china_sentiment,china_sentiment_volatility,china_policy_impact,import_demand_index,china_posts_7d_ma,china_sentiment_30d_ma,brazil_month,export_seasonality_factor,brazil_temperature_c,brazil_precipitation_mm,growing_degree_days,export_capacity_index,harvest_pressure,brazil_precip_30d_ma,brazil_temp_7d_ma,trump_mentions,trumpxi_china_mentions,trump_xi_co_mentions,xi_mentions,tariff_mentions,co_mention_sentiment,trumpxi_sentiment_volatility,trumpxi_policy_impact,max_policy_impact,tension_index,volatility_multiplier,co_mentions_7d_ma,trumpxi_volatility_30d_ma,china_tariff_rate,brazil_market_share,us_export_impact,tradewar_event_vol_mult,trade_war_intensity,trade_war_impact_score,is_wasde_day,is_fomc_day,is_china_holiday,is_crop_report_day,is_stocks_day,is_planting_day,is_major_usda_day,event_impact_level,days_to_next_event,days_since_last_event,pre_event_window,post_event_window,event_vol_mult,is_options_expiry,is_quarter_end,is_month_end,palm_lag1,palm_lag2,palm_lag3,palm_momentum_3d,crude_lag1,crude_lag2,crude_momentum_2d,vix_lag1,vix_lag2,vix_spike_lag1,dxy_lag1,dxy_lag2,dxy_momentum_3d,corn_lag1,wheat_lag1,corn_soy_ratio_lag1,palm_lead2_correlation,crude_lead1_correlation,vix_lead1_correlation,dxy_lead1_correlation,palm_direction_correct,crude_direction_correct,vix_inverse_correct,lead_signal_confidence,momentum_divergence,palm_accuracy_30d,crude_accuracy_30d,leadlag_zl_price,weather_brazil_temp,weather_brazil_precip,weather_argentina_temp,weather_us_temp,avg_sentiment,sentiment_volatility,sentiment_volume,day_of_week,month,quarter,cftc_commercial_long,cftc_commercial_short,cftc_commercial_net,cftc_managed_long,cftc_managed_short,cftc_managed_net,cftc_open_interest,econ_gdp_growth,econ_inflation_rate,econ_unemployment_rate,news_article_count,news_avg_score,rsi_proxy,bb_width,price_ma_ratio,momentum_30d,macd_proxy,day_of_week_num,day_of_month,month_num,seasonal_sin,seasonal_cos,volatility_regime,time_weight,usd_cny_rate,usd_brl_rate,dollar_index,usd_ars_rate,usd_eur_rate,fed_funds_rate,ten_year_treasury,cpi_inflation,yield_curve,vix_index,crude_oil_wti,treasury_10y_yield
2020-10-21,33.61000061035156,38.68000030517578,51.349998474121094,64.98999786376953,33.20000076293945,,,,,,33.20000076293945,33.20000076293945,,55428,0.5718703976435935,0.5599999999999999,0.5,0.5,0.5,0.5,0.5,0.5,0.5233740795287186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.029998779296875,692.5,413.75,629.75,28.649999618530273,92.61000061035156,0.9779426467979923,-1.94587965893838,0.0,3320.0000762939453,10.72,378.79998779296875,362.81360812377926,362.81360812377926,362.81360812377926,0,0,0,0,0.5,0.1,0.0,0.5,0.0,0.5,10,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1178,999,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,33.20000076293945,25.0,100.0,20.0,20.0,0.5,0.1,0,4,10,4,,,,,,,,,,,,,,,1.0,,0.0,4,21,10,-0.9338387631123987,0.3576942332617418,MEDIUM,1.0,0.0,0.0,114.9185,0.0,0.0,0.0,0.0,0.0,0.0,28.65,39.88,0.0
2020-10-22,33.189998626708984,39.189998626708984,52.380001068115234,66.62999725341797,33.689998626708984,33.20000076293945,,,0.014758971461124386,,33.44499969482422,33.44499969482422,0.34648081223835764,76316,0.5684830633284241,0.5599999999999999,0.5,0.5,0.5,0.5,0.0,0.5,0.4726966126656848,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,40.63999938964844,696.0,416.25,622.75,28.110000610351562,92.94999694824219,0.9779426467979923,-1.9007964718574855,0.0,3368.9998626708984,10.7375,382.3999938964844,368.2652847595215,365.5394464416504,365.5394464416504,0,0,0,0,0.5,0.1,0.0,0.5,0.0,0.5,10,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1177,999,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,33.689998626708984,25.0,100.0,20.0,20.0,0.5,0.1,0,5,10,4,,,,,,,,,,,,,,0.6929616244767153,1.007325427840344,,0.0,5,22,10,-0.9275432920245837,0.373715722736143,LOW,1.0,0.0,0.0,115.1234,0.0,0.0,0.0,0.0,0.0,0.0,28.11,40.46,0.0
2020-10-23,33.779998779296875,38.869998931884766,53.380001068115234,66.62999725341797,34.11000061035156,33.689998626708984,,,0.01246666668931254,,33.666666666666664,33.666666666666664,0.45544836792119237,62103,0.5630338733431517,0.5599999999999999,0.5,0.5,0.5,0.5,0.0,0.5,0.47160677466863027,-0.17384928826439874,0.8873553100045809,-0.9984945846407117,0.5089996463315086,0.995316791199508,0.24959103709187572,-0.17384928826439874,0.8873553100045809,-0.9984945846407117,0.5089996463315086,0.995316791199508,0.24959103709187572,-0.17384928826439874,0.8873553100045809,-0.9984945846407117,0.5089996463315086,0.995316791199508,-0.17384928826439874,0.8873553100045809,-0.9984945846407117,0.5089996463315086,-0.17384928826439874,0.8873553100045809,-0.9984945846407117,0.5089996463315086,0.995316791199508,0.2997988897672093,0.3420296500908124,39.849998474121094,696.0,419.25,632.75,27.549999237060547,92.7699966430664,0.9779426467979923,-1.8621533890953714,0.0,3411.0000610351562,10.8375,386.3999938964844,372.8733065795899,367.98406648763023,367.98406648763023,0,0,0,0,0.5,0.1,0.0,0.5,0.0,0.5,10,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1176,999,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,34.11000061035156,25.0,100.0,20.0,20.0,0.5,0.1,0,6,10,4,,,,,,,,,,,,,,0.9108967358423847,1.0131683349609375,,0.0,6,23,10,-0.9209729703056199,0.38962647236352393,LOW,1.0,6.683499813079834,5.591300010681152,115.0198,77.9979019165039,0.8463799953460693,0.0,0.0,0.0,0.0,27.55,39.73,0.0
2020-10-26,34.38999938964844,38.279998779296875,54.060001373291016,67.30999755859375,34.459999084472656,34.11000061035156,,,0.010260875633490246,,33.864999771118164,33.864999771118164,0.5437213365749587,74665,0.6858615611192931,0.5599999999999999,0.5,0.5,0.5,0.5,0.0,0.5,0.49617231222385855,-0.7187985131736955,0.9263292799154146,0.5766200407522851,0.7598322251369669,0.8600363190593658,-0.3965493139817498,-0.7187985131736955,0.9263292799154146,0.5766200407522851,0.7598322251369669,0.8600363190593658,-0.3965493139817498,-0.7187985131736955,0.9263292799154146,0.5766200407522851,0.7598322251369669,0.8600363190593658,-0.7187985131736955,0.9263292799154146,0.5766200407522851,0.7598322251369669,-0.7187985131736955,0.9263292799154146,0.5766200407522851,0.7598322251369669,0.8600363190593658,-0.7671873247873153,0.02991793546179243,38.560001373291016,701.25,417.75,620.0,32.459999084472656,93.05000305175781,0.9779426467979923,-1.8299511126090184,0.0,3445.9999084472656,10.8775,389.6000061035156,376.75369006347654,370.1764723815918,370.1764723815918,0,0,0,0,0.5,0.1,0.0,0.5,0.0,0.5,10,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1173,999,0,0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,34.459999084472656,25.0,100.0,20.0,20.0,0.5,0.1,0,2,10,4,,,,,,,,,,,,,,1.0874426731499174,1.0175697421342356,,0.0,2,26,10,-0.8996327743449213,0.436647307703208,LOW,1.0,6.685699939727783,5.616199970245361,115.2872,78.21490478515625,0.8439900279045105,0.0,0.0,0.0,0.0,32.46,38.39,0.0
2020-10-27,35.470001220703125,38.7599983215332,55.150001525878906,68.30999755859375,34.11000061035156,34.459999084472656,,,-0.010156659414387497,,33.91399993896484,33.91399993896484,0.48345604880915344,58339,0.6877761413843888,0.5599999999999999,0.5,0.5,0.5,0.5,0.0,0.5,0.4965552282768777,-0.7218417280646348,0.8715701808351259,0.561474419594046,0.7729983338097918,0.7895367127826245,-0.43776090976473236,-0.7218417280646348,0.8715701808351259,0.561474419594046,0.7729983338097918,0.7895367127826245,-0.43776090976473236,-0.7218417280646348,0.8715701808351259,0.561474419594046,0.7729983338097918,0.7895367127826245,-0.7218417280646348,0.8715701808351259,0.561474419594046,0.7729983338097918,-0.7218417280646348,0.8715701808351259,0.561474419594046,0.7729983338097918,0.7895367127826245,-0.6939614707308723,0.131959565076103,39.56999969482422,701.25,416.0,615.75,33.349998474121094,92.94000244140625,0.9779426467979923,-1.8621533890953714,0.0,3411.0000610351562,10.8225,384.0,372.8355067138672,370.7082792480469,370.7082792480469,0,0,0,0,0.5,0.1,0.0,0.5,0.0,0.5,10,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1172,999,0,0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,34.11000061035156,25.0,100.0,20.0,20.0,0.5,0.1,0,3,10,4,,,,,,,,,,,,,,0.9669120976183069,1.0057793439800513,,0.0,3,27,10,-0.8919833249927597,0.4520683000773898,LOW,1.0,6.711299896240234,5.622700214385986,115.0206,78.1802978515625,0.846780002117157,0.0,0.0,0.0,0.0,33.35,39.34,0.0
2020-10-28,35.34000015258789,38.959999084472656,55.36000061035156,66.69000244140625,33.41999816894531,34.11000061035156,,,-0.02022874315624758,,33.83166631062826,33.83166631062826,0.4771339005295388,81015,0.8945508100147275,0.5599999999999999,0.5,0.5,0.5,0.5,0.0,0.5,0.5379101620029455,-0.036206126138594454,0.5568366444847884,-0.1143010242043296,0.05450185819964827,0.6097775198980593,0.021192400702014398,-0.036206126138594454,0.5568366444847884,-0.1143010242043296,0.05450185819964827,0.6097775198980593,0.021192400702014398,-0.036206126138594454,0.5568366444847884,-0.1143010242043296,0.05450185819964827,0.6097775198980593,-0.036206126138594454,0.5568366444847884,-0.1143010242043296,0.05450185819964827,-0.036206126138594454,0.5568366444847884,-0.1143010242043296,0.05450185819964827,0.6097775198980593,-0.6935058678157423,0.7074227514226216,37.38999938964844,701.0,401.5,608.75,40.279998779296875,93.41000366210938,0.9779426467979923,-1.9256383784234539,0.0,3341.9998168945312,10.5725,376.70001220703125,365.3348801269531,369.8127127278646,369.8127127278646,0,0,0,0,0.5,0.1,0.0,0.5,0.0,0.5,10,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1171,999,0,0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,33.41999816894531,25.0,100.0,20.0,20.0,0.5,0.1,0,4,10,4,,,,,,,,,,,,,,0.9542678010590776,0.9878318691753702,,0.0,4,28,10,-0.884069562177327,0.46735533508411914,LOW,1.0,6.704400062561035,5.7052001953125,115.8099,78.29840087890625,0.8485999703407288,0.0,0.0,0.0,0.0,40.28,37.27,0.0
2020-10-29,35.47999954223633,39.58000183105469,56.459999084472656,67.0199966430664,33.060001373291016,33.41999816894531,,,-0.010771897527774696,,33.721428462437224,33.721428462437224,0.5241952385119846,66821,0.8932253313696612,0.5599999999999999,0.5,0.5,0.5,0.5,0.0,0.5,0.5376450662739323,0.39466922120244546,0.26143980216074125,-0.33477343715840857,-0.4410249429226369,0.7517555579516775,0.3698310003029288,0.39466922120244546,0.26143980216074125,-0.33477343715840857,-0.4410249429226369,0.7517555579516775,0.3698310003029288,0.39466922120244546,0.26143980216074125,-0.33477343715840857,-0.4410249429226369,0.7517555579516775,0.39466922120244546,0.26143980216074125,-0.33477343715840857,-0.4410249429226369,0.39466922120244546,0.26143980216074125,-0.33477343715840857,-0.4410249429226369,0.7517555579516775,-0.6755957093288985,0.8371148265629611,36.16999816894531,701.0,398.5,603.75,37.59000015258789,93.95999908447266,0.9779426467979923,-1.958760569532921,0.0,3306.0001373291016,10.5175,376.8999938964844,361.43431497192387,368.6157987627302,368.6157987627302,0,0,0,0,0.5,0.1,0.0,0.5,0.0,0.5,10,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1170,999,0,0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,33.060001373291016,25.0,100.0,20.0,20.0,0.5,0.1,0,5,10,4,,,,,,,,,,,,,,1.0483904770239691,0.9803855554374578,,0.0,5,29,10,-0.8758938309133781,0.4825038828526529,LOW,1.0,6.72790002822876,5.744900226593018,116.3138,78.30329895019531,0.8511599898338318,0.0,0.0,0.0,0.0,37.59,35.94,0.0
2020-10-30,36.060001373291016,40.11000061035156,56.88999938964844,65.45999908447266,33.61000061035156,33.060001373291016,33.20000076293945,,0.016636394864305362,0.012349392710550315,33.77999986921038,33.707499980926514,0.4869068602507478,69849,0.8935198821796759,0.5599999999999999,0.5,0.5,0.0,0.5,0.0,0.06666666666666667,0.4443706431026018,0.5916765639689414,-0.12287709033790041,-0.5911480406687273,-0.7279797685463764,0.8355526097677229,0.649524686821977,0.36479981797167194,0.23683711360568854,-0.3388661783621229,-0.3947854884781027,0.6810455801759404,0.3439792394746709,0.36479981797167194,0.23683711360568854,-0.3388661783621229,-0.3947854884781027,0.6810455801759404,0.36479981797167194,0.23683711360568854,-0.3388661783621229,-0.3947854884781027,0.36479981797167194,0.23683711360568854,-0.3388661783621229,-0.3947854884781027,0.6810455801759404,-0.6597321597257794,0.8845871326623745,35.790000915527344,700.5,398.5,598.5,38.02000045776367,94.04000091552734,0.9779426467979923,-1.9081568417778705,0.0,3361.0000610351562,10.565,378.6000061035156,367.47420684814455,369.2815985804967,368.473099773407,1,0,0,0,0.5,0.1,0.0,0.35,0.14285714285714285,0.4611111111111111,10,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.13,1.2,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1169,999,0,0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,33.61000061035156,25.0,100.0,20.0,20.0,0.16666666666666666,0.1,1,6,10,4,,,,,,,,,,,,,71.23493927105503,0.9738137205014956,0.9971074873357525,,0.07249988828386478,6,30,10,-0.8674585538424398,0.4975094545489393,LOW,1.0,6.714000225067139,5.7778000831604,116.1417,78.28359985351562,0.8562600016593933,0.0,0.0,0.0,0.0,38.02,35.64,0.0
2020-11-02,37.130001068115234,39.189998626708984,55.09000015258789,65.0,33.189998626708984,33.61000061035156,33.689998626708984,,-0.012496339661273956,-0.014841199773858305,33.70857129778181,33.6499998304579,0.4870317340528805,58873,0.8924889543446244,0.5599999999999999,0.5,0.5,0.5,0.5,0.0,0.5,0.5374977908689249,0.7789565856695618,-0.47287371482811946,-0.7414016784859614,-0.8342681496832034,0.9223231784373189,0.7110911954434941,0.4341182477567553,-0.0670335166164881,-0.4004413200283799,-0.49462042939679757,0.7280674541851246,0.4012754451643996,0.4341182477567553,-0.0670335166164881,-0.4004413200283799,-0.49462042939679757,0.7280674541851246,0.4341182477567553,-0.0670335166164881,-0.4004413200283799,-0.49462042939679757,0.4341182477567553,-0.0670335166164881,-0.4004413200283799,-0.49462042939679757,0.7280674541851246,-0.6759138937747123,0.8789424550330308,36.810001373291016,707.0,397.5,607.5,37.130001068115234,94.05000305175781,0.9673550783522105,-1.5498280791704224,0.0,3318.9998626708984,10.5075,375.1000061035156,362.8346850280762,368.5057986188616,367.84660924614803,0,0,0,0,0.5,0.1,0.0,0.5,0.0,0.5,11,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1166,999,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,33.189998626708984,25.0,100.0,20.0,20.0,0.5,0.1,0,2,11,4,,,,,,,,,,,,,28.51588002261417,0.974063468105761,0.9863298304289276,,0.058571467323908166,2,2,11,-0.8406208233697932,0.5416240682586871,LOW,1.0,6.6890997886657715,5.741399765014648,116.2425,78.37692260742188,0.8589500188827515,0.0,0.0,0.0,0.0,37.13,36.6,0.0
2020-11-03,37.04999923706055,39.04999923706055,55.09000015258789,65.66000366210938,33.779998779296875,33.189998626708984,34.11000061035156,,0.017776444019286578,-0.00967463574171089,33.66142817905971,33.6629997253418,0.46101446516541233,55430,0.6913107511045655,0.5599999999999999,0.5,0.5,0.5,0.5,0.0,0.5,0.4972621502209131,0.7623439050799965,0.01777203174659482,-0.814122811549558,-0.8227360068857226,0.8961613794115966,0.7527748289838467,0.4186370264516039,0.05227786209886094,-0.3839887814488213,-0.4753619695298685,0.6752859960081667,0.3722414387967268,0.4186370264516039,0.05227786209886094,-0.3839887814488213,-0.4753619695298685,0.6752859960081667,0.4186370264516039,0.05227786209886094,-0.3839887814488213,-0.4753619695298685,0.4186370264516039,0.05227786209886094,-0.3839887814488213,-0.4753619695298685,0.6752859960081667,-0.39372014182134457,0.8841421090071184,37.65999984741211,726.25,401.0,608.0,35.54999923706055,93.55000305175781,0.9673550783522105,-1.505376941583352,0.0,3377.9998779296875,10.59,377.20001220703125,369.28838684082035,367.99366722760885,367.99078700561523,0,0,0,0,0.5,0.1,0.0,0.5,0.0,0.5,11,1.0,25.0,100.0,15.0,1.0,0.5,100.0,25.0,0,0,0,0,0,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.2,0.16,0,0,0,0,0,0,0,0,1165,999,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0,0.5,0.5,33.779998779296875,25.0,100.0,20.0,20.0,0.5,0.1,0,3,11,4,,,,,,,,,,,,,29.032536425828912,0.9220289303308247,1.0034755979832362,,-0.0015715462820864445,3,3,11,-0.8311731164188209,0.5560137143476096,LOW,1.0,6.689700126647949,5.741099834442139,115.4864,78.67870330810547,0.8589000105857849,0.0,0.0,0.0,0.0,35.55,37.44,0.0
