column_name,data_type,total_rows,null_count,non_null_count,null_pct
cftc_commercial_long,FLOAT64,2045,1985,60,97.07
cftc_commercial_short,FLOAT64,2045,1985,60,97.07
cftc_commercial_net,FLOAT64,2045,1985,60,97.07
cftc_managed_long,FLOAT64,2045,1985,60,97.07
cftc_managed_short,FLOAT64,2045,1985,60,97.07
cftc_managed_net,FLOAT64,2045,1985,60,97.07
cftc_open_interest,FLOAT64,2045,1985,60,97.07
treasury_10y_yield,FLOAT64,2045,587,1458,28.7
econ_gdp_growth,FLOAT64,2045,2034,11,99.46
econ_inflation_rate,FLOAT64,2045,2027,18,99.12
econ_unemployment_rate,FLOAT64,2045,1973,72,96.48
news_article_count,INT64,2045,2041,4,99.8
news_avg_score,FLOAT64,2045,2041,4,99.8
rsi_proxy,FLOAT64,2045,801,1244,39.17
bb_width,FLOAT64,2045,795,1250,38.88
price_ma_ratio,FLOAT64,2045,794,1251,38.83
momentum_30d,FLOAT64,2045,824,1221,40.29
macd_proxy,FLOAT64,2045,794,1251,38.83
day_of_week_num,INT64,2045,794,1251,38.83
day_of_month,INT64,2045,794,1251,38.83
month_num,INT64,2045,794,1251,38.83
seasonal_sin,FLOAT64,2045,794,1251,38.83
seasonal_cos,FLOAT64,2045,794,1251,38.83
volatility_regime,STRING,2045,794,1251,38.83
time_weight,FLOAT64,2045,794,1251,38.83
usd_cny_rate,FLOAT64,2045,794,1251,38.83
usd_brl_rate,FLOAT64,2045,794,1251,38.83
dollar_index,FLOAT64,2045,794,1251,38.83
usd_cny_7d_change,FLOAT64,2045,794,1251,38.83
usd_brl_7d_change,FLOAT64,2045,794,1251,38.83
dollar_index_7d_change,FLOAT64,2045,794,1251,38.83
fed_funds_rate,FLOAT64,2045,794,1251,38.83
real_yield,FLOAT64,2045,794,1251,38.83
yield_curve,FLOAT64,2045,794,1251,38.83
supply_demand_ratio,FLOAT64,2045,794,1251,38.83
br_yield,FLOAT64,2045,794,1251,38.83
cn_imports,FLOAT64,2045,794,1251,38.83
vix_index_new,FLOAT64,2045,794,1251,38.83
crude_oil_wti_new,FLOAT64,2045,794,1251,38.83
wti_7d_change,FLOAT64,2045,794,1251,38.83
is_low_vol,INT64,2045,794,1251,38.83
is_normal_vol,INT64,2045,794,1251,38.83
is_high_vol,INT64,2045,794,1251,38.83
cn_imports_fixed,FLOAT64,2045,794,1251,38.83
argentina_export_tax,FLOAT64,2045,794,1251,38.83
argentina_china_sales_mt,FLOAT64,2045,794,1251,38.83
argentina_competitive_threat,INT64,2045,794,1251,38.83
industrial_demand_index,FLOAT64,2045,794,1251,38.83
fx_usd_ars_30d_z,FLOAT64,2045,794,1251,38.83
fx_usd_myr_30d_z,FLOAT64,2045,806,1239,39.41
palm_price,FLOAT64,2045,785,1260,38.39
crude_price,FLOAT64,2045,788,1257,38.53
vix_level,FLOAT64,2045,788,1257,38.53
dxy_level,FLOAT64,2045,794,1251,38.83
rn,INT64,2045,781,1264,38.19
zl_price_lag1,FLOAT64,2045,781,1264,38.19
zl_price_lag7,FLOAT64,2045,784,1261,38.34
zl_price_lag30,FLOAT64,2045,800,1245,39.12
return_1d,FLOAT64,2045,1055,990,51.59
return_7d,FLOAT64,2045,830,1215,40.59
ma_7d,FLOAT64,2045,205,1840,10.02
ma_30d,FLOAT64,2045,205,1840,10.02
volatility_30d,FLOAT64,2045,206,1839,10.07
corr_zl_palm_7d,FLOAT64,2045,211,1834,10.32
corr_zl_palm_30d,FLOAT64,2045,206,1839,10.07
corr_zl_palm_90d,FLOAT64,2045,206,1839,10.07
corr_zl_palm_180d,FLOAT64,2045,206,1839,10.07
corr_zl_palm_365d,FLOAT64,2045,206,1839,10.07
corr_zl_crude_7d,FLOAT64,2045,214,1831,10.46
corr_zl_crude_30d,FLOAT64,2045,206,1839,10.07
corr_zl_crude_90d,FLOAT64,2045,206,1839,10.07
corr_zl_crude_180d,FLOAT64,2045,206,1839,10.07
corr_zl_crude_365d,FLOAT64,2045,206,1839,10.07
corr_zl_vix_7d,FLOAT64,2045,214,1831,10.46
corr_zl_vix_30d,FLOAT64,2045,206,1839,10.07
corr_zl_vix_90d,FLOAT64,2045,206,1839,10.07
corr_zl_vix_180d,FLOAT64,2045,206,1839,10.07
corr_zl_vix_365d,FLOAT64,2045,206,1839,10.07
corr_zl_dxy_7d,FLOAT64,2045,224,1821,10.95
corr_zl_dxy_30d,FLOAT64,2045,206,1839,10.07
corr_zl_dxy_90d,FLOAT64,2045,206,1839,10.07
corr_zl_dxy_180d,FLOAT64,2045,206,1839,10.07
corr_zl_dxy_365d,FLOAT64,2045,206,1839,10.07
corr_zl_corn_7d,FLOAT64,2045,224,1821,10.95
corr_zl_corn_30d,FLOAT64,2045,206,1839,10.07
corr_zl_corn_90d,FLOAT64,2045,206,1839,10.07
corr_zl_corn_365d,FLOAT64,2045,206,1839,10.07
corr_zl_wheat_7d,FLOAT64,2045,224,1821,10.95
corr_zl_wheat_30d,FLOAT64,2045,206,1839,10.07
corr_palm_crude_30d,FLOAT64,2045,206,1839,10.07
corr_corn_wheat_30d,FLOAT64,2045,206,1839,10.07
bb_upper,FLOAT64,2045,575,1470,28.12
bb_middle,FLOAT64,2045,781,1264,38.19
bb_lower,FLOAT64,2045,575,1470,28.12
bb_percent,FLOAT64,2045,575,1470,28.12
rsi_14,FLOAT64,2045,579,1466,28.31
macd_line,FLOAT64,2045,574,1471,28.07
macd_signal,FLOAT64,2045,574,1471,28.07
macd_histogram,FLOAT64,2045,574,1471,28.07
ma_90d,FLOAT64,2045,781,1264,38.19
brazil_temp_c,FLOAT64,2045,474,1571,23.18
brazil_precip_mm,FLOAT64,2045,474,1571,23.18
brazil_conditions_score,FLOAT64,2045,474,1571,23.18
brazil_heat_stress_days,INT64,2045,474,1571,23.18
brazil_drought_days,INT64,2045,474,1571,23.18
brazil_flood_days,INT64,2045,474,1571,23.18
argentina_temp_c,FLOAT64,2045,695,1350,33.99
argentina_precip_mm,FLOAT64,2045,1751,294,85.62
argentina_conditions_score,FLOAT64,2045,577,1468,28.22
argentina_heat_stress_days,INT64,2045,474,1571,23.18
argentina_drought_days,INT64,2045,474,1571,23.18
argentina_flood_days,INT64,2045,474,1571,23.18
us_midwest_temp_c,FLOAT64,2045,2034,11,99.46
us_midwest_precip_mm,FLOAT64,2045,2034,11,99.46
us_midwest_conditions_score,FLOAT64,2045,2034,11,99.46
us_midwest_heat_stress_days,INT64,2045,2034,11,99.46
us_midwest_drought_days,INT64,2045,2034,11,99.46
us_midwest_flood_days,INT64,2045,2034,11,99.46
global_weather_risk_score,FLOAT64,2045,1036,1009,50.66
soybean_meal_price,FLOAT64,2045,576,1469,28.17
usd_index,FLOAT64,2045,584,1461,28.56
gdp_growth,FLOAT64,2045,2034,11,99.46
unemployment_rate,FLOAT64,2045,2034,11,99.46
cpi_yoy,FLOAT64,2045,2034,11,99.46
atr_14,FLOAT64,2045,575,1470,28.12
historical_volatility_30d,FLOAT64,2045,779,1266,38.09
corn_zl_correlation_30d,FLOAT64,2045,778,1267,38.04
wheat_zl_correlation_30d,FLOAT64,2045,778,1267,38.04
crude_zl_correlation_30d,FLOAT64,2045,778,1267,38.04
usd_zl_correlation_30d,FLOAT64,2045,575,1470,28.12
seasonal_month_factor,FLOAT64,2045,574,1471,28.07
price_momentum_1w,FLOAT64,2045,579,1466,28.31
price_momentum_1m,FLOAT64,2045,596,1449,29.14
volume_sma_ratio,FLOAT64,2045,581,1464,28.41
economic_stress_index,FLOAT64,2045,794,1251,38.83
trump_soybean_sentiment_7d,FLOAT64,2045,2038,7,99.66
trump_agricultural_impact_30d,FLOAT64,2045,2012,33,98.39
trump_soybean_relevance_30d,FLOAT64,2045,2012,33,98.39
days_since_trump_policy,INT64,2045,2012,33,98.39
trump_policy_intensity_14d,FLOAT64,2045,2012,33,98.39
social_sentiment_momentum_7d,FLOAT64,2045,2025,20,99.02
