model,test_mae,test_mape,directional_acc
Linear,5.5482767266489885,11.552073197905298,0.5856573705179283
GradientBoosting,2.51269796164313,5.197199694352261,0.5418326693227091
V4_Enriched (baseline),1.55,3.09,
