,train_mae,test_mae,train_dir_acc,test_dir_acc
policy,0.42559579052398316,2.2748377708279492,1.0,1.0
geographic,0.5487739666652726,5.297034414684054,1.0,1.0
arbitrage,0.8082216147890968,5.608933822655808,1.0,1.0
momentum,35.098617938041684,19.506293617238402,1.0,1.0
volatility,2.7905831875225746,3.73746401674637,1.0,1.0
