zl_price_current,zl_price_lag1,zl_price_lag7,zl_price_lag30,return_1d,return_7d,ma_7d,ma_30d,volatility_30d,corr_zl_crude_7d,corr_zl_palm_7d,corr_zl_vix_7d,corr_zl_dxy_7d,tariff_weighted_score,tariff_momentum,china_weighted_score,china_purchase_signals,china_cancellation_signals,brazil_harvest_signals,argentina_harvest_signals,south_america_weather_impact,policy_weighted_score,policy_momentum,biofuel_article_count,biodiesel_demand_signals,drought_signals,flood_signals,midwest_weather_signals,target_1w,target_1m,target_3m,target_6m,date
33.20000076293945,,,,,,33.20000076293945,33.20000076293945,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33.61000061035156,38.68000030517578,51.34999847412109,64.98999786376953,2020-10-21
33.689998626708984,33.20000076293945,,,0.0147589714611243,,33.44499969482422,33.44499969482422,0.3464808122383576,1.0,1.0,-1.0,1.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33.189998626708984,39.18999862670898,52.380001068115234,66.62999725341797,2020-10-22
34.11000061035156,33.689998626708984,,,0.0124666666893125,,33.666666666666664,33.666666666666664,0.4554483679211923,-0.1738492882643987,0.8873553100045809,-0.9984945846407116,0.5089996463315086,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33.779998779296875,38.869998931884766,53.380001068115234,66.62999725341797,2020-10-23
34.459999084472656,34.11000061035156,,,0.0102608756334902,,33.864999771118164,33.864999771118164,0.5437213365749587,-0.7187985131736955,0.9263292799154146,0.5766200407522851,0.7598322251369669,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,34.38999938964844,38.27999877929688,54.060001373291016,67.30999755859375,2020-10-26
34.11000061035156,34.459999084472656,,,-0.0101566594143874,,33.91399993896484,33.91399993896484,0.4834560488091534,-0.7218417280646348,0.8715701808351259,0.561474419594046,0.7729983338097918,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,35.470001220703125,38.7599983215332,55.150001525878906,68.30999755859375,2020-10-27
33.41999816894531,34.11000061035156,,,-0.0202287431562475,,33.83166631062826,33.83166631062826,0.4771339005295388,-0.0362061261385944,0.5568366444847884,-0.1143010242043296,0.0545018581996482,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,35.34000015258789,38.959999084472656,55.36000061035156,66.69000244140625,2020-10-28
33.060001373291016,33.41999816894531,,,-0.0107718975277746,,33.721428462437224,33.721428462437224,0.5241952385119846,0.3946692212024454,0.2614398021607412,-0.3347734371584085,-0.4410249429226369,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,35.47999954223633,39.58000183105469,56.459999084472656,67.0199966430664,2020-10-29
33.61000061035156,33.060001373291016,33.20000076293945,,0.0166363948643053,0.0123493927105503,33.77999986921038,33.707499980926514,0.4869068602507478,0.5916765639689414,-0.1228770903379004,-0.5911480406687273,-0.7279797685463764,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,36.060001373291016,40.11000061035156,56.88999938964844,65.45999908447266,2020-10-30
33.189998626708984,33.61000061035156,33.689998626708984,,-0.0124963396612739,-0.0148411997738583,33.70857129778181,33.6499998304579,0.4870317340528805,0.7789565856695618,-0.4728737148281194,-0.7414016784859614,-0.8342681496832034,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,37.130001068115234,39.18999862670898,55.09000015258789,65.0,2020-11-02
33.779998779296875,33.189998626708984,34.11000061035156,,0.0177764440192865,-0.0096746357417108,33.66142817905971,33.6629997253418,0.4610144651654123,0.7623439050799965,0.0177720317465948,-0.814122811549558,-0.8227360068857226,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,37.04999923706055,39.04999923706055,55.09000015258789,65.66000366210938,2020-11-03
34.38999938964844,33.779998779296875,34.459999084472656,,0.0180580412195106,-0.0020313318828774,33.65142822265625,33.729090603915125,0.4892125815216925,0.8225953045298033,0.5847314349015207,-0.8395713771941484,-0.7046857812420854,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,37.130001068115234,39.93000030517578,54.59999847412109,66.43000030517578,2020-11-04
35.470001220703125,34.38999938964844,34.11000061035156,,0.031404531847121,0.0398710227504022,33.84571402413504,33.87416648864746,0.6856645831776457,0.7777667842551922,0.9362762574852972,-0.9044173038741196,-0.9006552515369018,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,37.43000030517578,40.06999969482422,53.52000045776367,66.26000213623047,2020-11-05
35.34000015258789,35.470001220703125,33.41999816894531,,-0.0036650990595217,0.0574506908688789,34.12000002179827,33.98692292433519,0.7721658542669629,0.6224795404505046,0.9573065964560866,-0.949749104728564,-0.9594161101965624,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,37.5,39.959999084472656,53.869998931884766,66.55000305175781,2020-11-06
35.47999954223633,35.34000015258789,33.060001373291016,,0.0039614994070164,0.0732001835577785,34.46571404593332,34.09357125418527,0.8423832919500431,0.6586832940177507,0.9550042783258595,-0.9556500000264146,-0.954735963627291,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,38.459999084472656,40.54999923706055,56.369998931884766,66.93000030517578,2020-11-09
